medication_id,medication_name,pharm_class_cd,pharm_class_title,simple_generic_cd,simple_generic_title,generic_name,gpi,strength,form,route
2,DARVOCET-N 50 50 MG-325 MG TABLET,12236,OPIOID ANALGESICS,9990304012,PROPOXYPHENE NAP/ACETAMINOPHEN,propoxyphene N-acetaminophen 50 mg-325 mg tablet,225614,50-325 mg,tablet,oral
3,DARVON-N 100 MG TABLET,12236,OPIOID ANALGESICS,9990304013,PROPOXYPHENE NAPSYLATE,propoxyphene napsylate 100 mg tablet,252468,100 mg,tablet,oral
4,DARVOCET-N 100 100 MG-650 MG TABLET,12236,OPIOID ANALGESICS,9990304012,PROPOXYPHENE NAP/ACETAMINOPHEN,propoxyphene N-acetaminophen 100 mg-650 mg tablet,220323,100-650 mg,tablet,oral
10,DARVON 65 MG CAPSULE,12236,OPIOID ANALGESICS,6510008510,PROPOXYPHENE HCL,propoxyphene 65 mg capsule,288670,65 mg,capsule,oral
47,MORPHINE 30 MG HYPODERMIC TABLET,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 30 mg hypodermic tablet,473797,30 mg,hypodermic tablet,injection
53,DARVON COMPOUND-65 65 MG-389 MG-32.4 MG CAPSULE,12236,OPIOID ANALGESICS,9990300004,PROPOXYPHENE/ASPIRIN/CAFFEINE,propoxyphene-ASA-caffeine 65 mg-389 mg-32.4 mg capsule,454219,65-389-32.4 mg,capsule,oral
412,LEVO-DROMORAN 2 MG TABLET,12236,OPIOID ANALGESICS,6510004010,LEVORPHANOL TARTRATE,levorphanol tartrate 2 mg tablet,169106,2 mg,tablet,oral
463,LEVO-DROMORAN 2 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,6510004010,LEVORPHANOL TARTRATE,levorphanol tartrate 2 mg/mL injection solution,276714,2 mg/mL,solution,injection
931,WYGESIC 65 MG-650 MG TABLET,12236,OPIOID ANALGESICS,9990300151,PROPOXYPHENE HCL/ACETAMINOPHEN,propoxyphene-acetaminophen 65 mg-650 mg tablet,173423,65-650 mg,tablet,oral
947,MEPERGAN 25 MG-25 MG/ML INJECTION SYRINGE,12236,OPIOID ANALGESICS,9990300154,MEPERIDINE HCL/PROMETH HCL,meperidine-promethazine 25 mg-25 mg/mL injection syringe,265582,25-25 mg/mL,syringe,injection
950,MEPERGAN FORTIS 50 MG-25 MG CAPSULE,12236,OPIOID ANALGESICS,9990300154,MEPERIDINE HCL/PROMETH HCL,meperidine-promethazine 50 mg-25 mg capsule,254957,50-25 mg,capsule,oral
1030,CODEINE 60 MG/ML INJECTION SYRINGE,12236,OPIOID ANALGESICS,6510002010,CODEINE PHOSPHATE,codeine 60 mg/mL injection syringe,239003,60 mg/mL,syringe,injection
1571,DEMEROL 50 MG/5 ML ORAL SOLUTION,12236,OPIOID ANALGESICS,6510004510,MEPERIDINE HCL,meperidine 50 mg/5 mL oral solution,190526,50 mg/5 mL,solution,oral
1638,TALWIN COMPOUND 12.5 MG-325 MG TABLET,12236,OPIOID ANALGESICS,9990300264,PENTAZOCINE HCL/ASPIRIN,pentazocine-aspirin 12.5 mg-325 mg tablet,290314,12.5-325 mg,tablet,oral
1639,TALACEN 25 MG-650 MG TABLET,12236,OPIOID ANALGESICS,9990300265,PENTAZOCINE HCL/ACETAMINOPHEN,pentazocine-acetaminophen 25 mg-650 mg tablet,166369,25-650 mg,tablet,oral
1640,TALWIN NX 50 MG-0.5 MG TABLET,12236,OPIOID ANALGESICS,9990300266,PENTAZOCINE HCL/NALOXONE HCL,pentazocine 50 mg-naloxone 0.5 mg tablet,234816,50-0.5 mg,tablet,oral
2010,MSIR 15 MG TABLET,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 15 mg immediate release tablet,282842,15 mg,tablet,oral
2011,MSIR 30 MG TABLET,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 30 mg immediate release tablet,235596,30 mg,tablet,oral
2013,MSIR 10 MG/5 ML ORAL SOLUTION,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 10 mg/5 mL oral solution,257805,10 mg/5 mL,solution,oral
2014,MSIR 20 MG/5 ML (4 MG/ML) ORAL SOLUTION,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 20 mg/5 mL (4 mg/mL) oral solution,226400,20 mg/5 mL (4 mg/mL),solution,oral
2015,MSIR CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL SOLUTION,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine concentrate 100 mg/5 mL (20 mg/mL) oral solution,171547,100 mg/5 mL (20 mg/mL),solution,oral
2016,MSIR 15 MG CAPSULE,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 15 mg capsule,171766,15 mg,capsule,oral
2017,MSIR 30 MG CAPSULE,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 30 mg capsule,264653,30 mg,capsule,oral
2050,DHC PLUS 356.4 MG-30 MG-16 MG CAPSULE,13495,"OPIOID ANALGESIC,NON-SALICYLATE,XANTHINE COMB",9990304300,ACETAMINOPHEN/CAFF/DIHYDROCOD,acetaminophen 356.4 mg-caffeine 30 mg-dihydrocodeine 16 mg capsule,189935,356.4-30-16 mg,capsule,oral
2100,SOMA COMPOUND WITH CODEINE 200 MG-325 MG-16 MG TABLET,13499,"SKELETAL MUSCLE RELAXANT,SALICYLAT,OPIOID ANALGESC",9990300345,CARISOPRODOL/ASPIRIN/CODEINE,carisoprodoL 200 mg-aspirin 325 mg-codeine 16 mg tablet,173078,200-325-16 mg,tablet,oral
2228,VICOPROFEN 7.5 MG-200 MG TABLET,12878,OPIOID ANALGESIC AND NSAID COMBINATION,9990305429,HYDROCODONE/IBUPROFEN,HYDROcodone 7.5 mg-ibuprofen 200 mg tablet,156812,7.5-200 mg,tablet,oral
2229,VICODIN HP 10 MG-660 MG TABLET,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990304027,HYDROCODONE/ACETAMINOPHEN,HYDROcodone 10 mg-acetaminophen 660 mg tablet,238331,10-660 mg,tablet,oral
2230,VICODIN 5 MG-500 MG TABLET,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990304027,HYDROCODONE/ACETAMINOPHEN,HYDROcodone 5 mg-acetaminophen 500 mg tablet,265826,5-500 mg,tablet,oral
2231,VICODIN ES 7.5 MG-750 MG TABLET,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990304027,HYDROCODONE/ACETAMINOPHEN,HYDROcodone 7.5 mg-acetaminophen 750 mg tablet,243387,7.5-750 mg,tablet,oral
2235,DILAUDID (PF) 4 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,9990305780,HYDROMORPHONE HCL/PF,HYDROmorphone (PF) 4 mg/mL injection solution,252556,4 mg/mL,solution,injection
2237,DILAUDID-HP (PF) 10 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,9990305780,HYDROMORPHONE HCL/PF,HYDROmorphone (PF) 10 mg/mL injection solution,551570,10 mg/mL,solution,injection
2242,DILAUDID 8 MG TABLET,12236,OPIOID ANALGESICS,6510003510,HYDROMORPHONE HCL,HYDROmorphone 8 mg tablet,183758,8 mg,tablet,oral
2244,DILAUDID 3 MG RECTAL SUPPOSITORY,12236,OPIOID ANALGESICS,6510003510,HYDROMORPHONE HCL,HYDROmorphone 3 mg rectal suppository,299079,3 mg,suppository,rectal
2247,DILAUDID-5 1 MG/ML ORAL LIQUID,12236,OPIOID ANALGESICS,6510003510,HYDROMORPHONE HCL,HYDROmorphone 1 mg/mL oral liquid,295333,1 mg/mL,liquid,oral
2253,DILAUDID-HP (PF) 250 MG SOLUTION FOR INJECTION,12236,OPIOID ANALGESICS,9990305780,HYDROMORPHONE HCL/PF,HYDROmorphone (PF) 250 mg solution for injection,267180,250 mg,recon soln,injection
2332,TYLENOL-CODEINE ELIXIR 120 MG-12 MG/5 ML ORAL,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990305674,ACETAMINOPHEN WITH CODEINE,acetaminophen 120 mg-codeine 12 mg/5 mL Elixir,211599,120-12 mg/5 mL,elixir,oral
2333,TYLENOL-CODEINE #2 300 MG-15 MG TABLET,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990305674,ACETAMINOPHEN WITH CODEINE,acetaminophen 300 mg-codeine 15 mg tablet,198698,300-15 mg,tablet,oral
2334,TYLENOL-CODEINE #3 300 MG-30 MG TABLET,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990305674,ACETAMINOPHEN WITH CODEINE,acetaminophen 300 mg-codeine 30 mg tablet,200615,300-30 mg,tablet,oral
2335,TYLENOL-CODEINE #4 300 MG-60 MG TABLET,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990305674,ACETAMINOPHEN WITH CODEINE,acetaminophen 300 mg-codeine 60 mg tablet,266520,300-60 mg,tablet,oral
2336,TYLOX 5 MG-500 MG CAPSULE,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990300380,OXYCODONE HCL/ACETAMINOPHEN,oxyCODONE-acetaminophen 5 mg-500 mg capsule,230491,5-500 mg,capsule,oral
2341,ULTRAM 50 MG TABLET,12236,OPIOID ANALGESICS,6510009510,TRAMADOL HCL,traMADoL 50 mg tablet,206268,50 mg,tablet,oral
2424,BUTALBITAL COMPOUND-CODEINE 30 MG-50 MG-325 MG-40 MG CAPSULE,13118,"OPIOID AND SALICYLATE ANALGESICS,BARBIT,XANTHINE",9990305625,CODEINE/BUTALBITAL/ASA/CAFFEIN,codeine-butalbital-ASA-caffeine 30 mg-50 mg-325 mg-40 mg capsule,229786,30-50-325-40 mg,capsule,oral
2685,DOLOPHINE 10 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,6510005010,METHADONE HCL,methadone 10 mg/mL injection solution,175292,10 mg/mL,solution,injection
2701,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML ORAL SOLUTION,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990305674,ACETAMINOPHEN WITH CODEINE,acetaminophen 120 mg-codeine 12 mg/5 mL oral solution,175398,120-12 mg/5 mL,solution,oral
2717,CODEINE 15 MG/5 ML ORAL SOLUTION,12236,OPIOID ANALGESICS,6510002010,CODEINE PHOSPHATE,codeine 15 mg/5 mL oral solution,199561,15 mg/5 mL,solution,oral
2743,MEPERIDINE 50 MG/5 ML ORAL SOLUTION,12236,OPIOID ANALGESICS,6510004510,MEPERIDINE HCL,meperidine 50 mg/5 mL oral solution,190526,50 mg/5 mL,solution,oral
2744,METHADONE INTENSOL 10 MG/ML ORAL CONCENTRATE,12236,OPIOID ANALGESICS,6510005010,METHADONE HCL,methadone 10 mg/mL oral concentrate,271337,10 mg/mL,concentrate,oral
2745,METHADONE 10 MG/ML ORAL CONCENTRATE,12236,OPIOID ANALGESICS,6510005010,METHADONE HCL,methadone 10 mg/mL oral concentrate,271337,10 mg/mL,concentrate,oral
2746,METHADONE 5 MG/5 ML ORAL SOLUTION,12236,OPIOID ANALGESICS,6510005010,METHADONE HCL,methadone 5 mg/5 mL oral solution,297020,5 mg/5 mL,solution,oral
2747,METHADONE 10 MG/5 ML ORAL SOLUTION,12236,OPIOID ANALGESICS,6510005010,METHADONE HCL,methadone 10 mg/5 mL oral solution,170425,10 mg/5 mL,solution,oral
2753,ORLAAM 10 MG/ML ORAL SOLUTION,12236,OPIOID ANALGESICS,6510003710,LEVOMETHADYL ACETATE HCL,levomethadyl 10 mg/mL oral solution,251103,10 mg/mL,solution,oral
2754,ROXICODONE 5 MG/5 ML ORAL SOLUTION,12236,OPIOID ANALGESICS,6510007510,OXYCODONE HCL,oxyCODONE 5 mg/5 mL oral solution,195608,5 mg/5 mL,solution,oral
2755,ROXICODONE INTENSOL 20 MG/ML ORAL CONCENTRATE,12236,OPIOID ANALGESICS,6510007510,OXYCODONE HCL,oxyCODONE 20 mg/mL oral concentrate,285837,20 mg/mL,concentrate,oral
2756,ROXICET 5 MG-325 MG/5 ML ORAL SOLUTION,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990300380,OXYCODONE HCL/ACETAMINOPHEN,oxyCODONE-acetaminophen 5 mg-325 mg/5 mL oral solution,270777,5-325 mg/5 mL,solution,oral
2766,ROXANOL CONCENTRATE 100 MG/5 ML (20 MG/ML) ORAL SOLUTION,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine concentrate 100 mg/5 mL (20 mg/mL) oral solution,171547,100 mg/5 mL (20 mg/mL),solution,oral
2785,CODAPHEN 500 MG-30 MG TABLET,13121,OPIOID ANALGESIC AND NON-SALICYLATE ANALGESICS,9990305674,ACETAMINOPHEN WITH CODEINE,acetaminophen 500 mg-codeine 30 mg tablet,467539,500-30 mg,tablet,oral
2801,DOLOPHINE 5 MG TABLET,12236,OPIOID ANALGESICS,6510005010,METHADONE HCL,methadone 5 mg tablet,284189,5 mg,tablet,oral
2802,DOLOPHINE 10 MG TABLET,12236,OPIOID ANALGESICS,6510005010,METHADONE HCL,methadone 10 mg tablet,181370,10 mg,tablet,oral
2818,LEVORPHANOL TARTRATE 2 MG TABLET,12236,OPIOID ANALGESICS,6510004010,LEVORPHANOL TARTRATE,levorphanol tartrate 2 mg tablet,169106,2 mg,tablet,oral
2827,MEPERIDINE 100 MG TABLET,12236,OPIOID ANALGESICS,6510004510,MEPERIDINE HCL,meperidine 100 mg tablet,267200,100 mg,tablet,oral
2834,ROXIPRIN 4.5 MG-0.38 MG-325 MG TABLET,13200,OPIOID ANALGESIC AND SALICYLATE ANALGESIC COMB,9990307762,"OXYCODONE HCL,TEREPHTH/ASPIRIN",oxyCODONE HCL-oxyCODONE ter-aspirin 4.5 mg-0.38 mg-325 mg tablet,253289,4.5-0.38-325 mg,tablet,oral
2835,ROXICODONE 5 MG TABLET,12236,OPIOID ANALGESICS,6510007510,OXYCODONE HCL,oxyCODONE 5 mg tablet,298962,5 mg,tablet,oral
2869,CODEINE SULFATE 15 MG TABLET,12236,OPIOID ANALGESICS,9990304032,CODEINE SULFATE,codeine sulfate 15 mg tablet,197034,15 mg,tablet,oral
2892,OXYCODONE HCL-OXYCODONE TER-ASPIRIN 4.5 MG-0.38 MG-325 MG TABLET,13200,OPIOID ANALGESIC AND SALICYLATE ANALGESIC COMB,9990307762,"OXYCODONE HCL,TEREPHTH/ASPIRIN",oxyCODONE HCL-oxyCODONE ter-aspirin 4.5 mg-0.38 mg-325 mg tablet,253289,4.5-0.38-325 mg,tablet,oral
2897,PROPOXYPHENE 65 MG CAPSULE,12236,OPIOID ANALGESICS,6510008510,PROPOXYPHENE HCL,propoxyphene 65 mg capsule,288670,65 mg,capsule,oral
3554,CODEINE 15 MG/ML INJECTION SYRINGE,12236,OPIOID ANALGESICS,6510002010,CODEINE PHOSPHATE,codeine 15 mg/mL injection syringe,160978,15 mg/mL,syringe,injection
3559,MORPHINE 25 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 25 mg/mL injection solution,290535,25 mg/mL,solution,injection
3560,MORPHINE 50 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,6510005510,MORPHINE SULFATE,morphine 50 mg/mL injection solution,278218,50 mg/mL,solution,injection
3600,FENTANYL (PF) 50 MCG/ML INJECTION SYRINGE,12733,"OPIOID ANALGESIC, ANESTHETIC ADJUNCT AGENTS",9990304461,FENTANYL CITRATE/PF,fentaNYL (PF) 50 mcg/mL injection syringe,445671,50 mcg/mL,syringe,injection
3614,NALBUPHINE 10 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,6520003010,NALBUPHINE HCL,nalbuphine 10 mg/mL injection solution,235899,10 mg/mL,solution,injection
3783,TALWIN 30 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,6520004020,PENTAZOCINE LACTATE,pentazocine lactate 30 mg/mL injection solution,150370,30 mg/mL,solution,injection
3789,TALWIN 30 MG/ML INJECTION SYRINGE,12236,OPIOID ANALGESICS,6520004020,PENTAZOCINE LACTATE,pentazocine lactate 30 mg/mL injection syringe,445640,30 mg/mL,syringe,injection
3816,BUPRENORPHINE HCL 0.3 MG/ML INJECTION SYRINGE,12236,OPIOID ANALGESICS,6520001010,BUPRENORPHINE HCL,buprenorphine HCL 0.3 mg/mL injection syringe,443660,0.3 mg/mL,syringe,injection
3820,MORPHINE (PF) 0.5 MG/ML INJECTION SOLUTION,12236,OPIOID ANALGESICS,9990304436,MORPHINE SULFATE/PF,morphine (PF) 0.5 mg/mL injection solution,293675,0.5 mg/mL,solution,injection
